name,floor,shop_number,category,raw_floor,source_url,source_section,extraction_method
MLB Kids,L2,A205,Shopping,"MLB Kids三期, L2, A205舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
MOISELLE,L4,477,Shopping,"MOISELLE一期, L4, 477舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Momax,L6,625,Shopping,"Momax一期, L6, 625舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Momonittu,L2,A230,Shopping,"Momonittu三期, L2, A230舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Monica Vinader,L3,392,Shopping,"Monica Vinader一期, L3, 392舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
mothercare,L2,A235B,Shopping,"mothercare三期, L2, A235B舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Mouri,L3,A362,Shopping,"Mouri三期, L3, A362舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
MOVIE TOWN MX4D ® 動感影院 (戲院),L3,L3,Shopping,"MOVIE TOWN MX4D ® 動感影院 (戲院)一期, L3 , MX4D",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
MOVIE TOWN 售票處,L2,252,Shopping,"MOVIE TOWN 售票處一期, L2, 252舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
MOVIE TOWN 戲院 (1-6院),L3,L3,Shopping,"MOVIE TOWN 戲院 (1-6院)一期, L3 , HOUSE1-6",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Mushroom,L3,A367,Shopping,"Mushroom三期, L3, A367舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
NARS,L2,218,Shopping,"NARS一期, L2, 218舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
National Geographic,L5,511,Shopping,"National Geographic一期, L5, 511舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
natures purest,L2,A203,Shopping,"natures purest三期, L2 , A203舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
